designation,Area,Cent_x,Cent_y,Count
group377.1,32138,-87.2468618636475,40.1227712361975,40
group378.1,15698,-85.47381468191904,40.11629254990476,21
group379.1,236062,-85.57999915893605,40.11164371718627,233
group381.1,23326,-86.7842273311762,40.105456798652384,21
group382.1,46983,-85.66039232730192,40.0994360525077,52
group384.1,240094,-85.64754303867583,40.09435752858517,236
group384.2,17664,-85.64244496540587,40.08904903084118,34
group385.1,128234,-86.01185207320519,40.092165281650004,154
group386.1,12948,-87.06412872531764,40.09163536757647,17
group387.1,320863,-85.70076498204264,40.077895822302715,258
group387.2,421840,-85.70400511786853,40.07292449631235,251
group387.3,16656,-85.7023280771,40.08155184887143,14
group387.4,24112,-85.69444894234583,40.07846134995417,24
group388.1,17308,-85.71743435844999,40.072951869492854,14
group390.1,18429,-85.87232304505652,40.06961506664348,23
group391.1,101692,-85.54056083771063,40.06532409536283,113
group392.1,64636,-85.68341765512196,40.06271657239878,82
group393.1,47888,-85.70704921546842,40.06234014350176,57
group393.2,27022,-85.70423344708125,40.060352439609375,32
group394.1,44115,-85.8983122261732,40.05892917184464,56
group395.1,284529,-86.48473202055641,40.05457487891696,289
group396.1,263531,-86.13545431218436,40.05415193208327,275
group397.1,20997,-86.90332361777727,40.054768314313634,22
group398.1,64199,-86.02159169888286,40.05079578182571,70
group399.1,48246,-86.28589379341723,40.04614606068103,58
group400.1,58959,-86.47223407872168,40.04341487731686,83
group401.1,55662,-86.19338642766479,40.04350142848873,71
group402.1,563322,-86.03182739639921,40.03727155657113,374
group403.1,239167,-86.89153902874521,40.02275287597701,261
group404.1,94718,-85.756998103185,40.004690606897,100
group405.1,42701,-85.71157487644182,40.00292216952182,55
group406.1,201333,-85.83673469964236,39.99084427273054,203
group407.1,81035,-85.39431133827395,39.9771505094625,96
group408.1,25123,-87.27215435958276,39.969034329382765,29
group409.1,11777,-84.87769562696428,39.94061465030715,14
group410.1,82268,-85.35836554185126,39.93626569598625,80
group411.1,19791,-85.34569860073448,39.933180826813796,29
group413.1,13462,-85.15229542185263,39.91874036641579,19
group414.1,40272,-85.38630621660425,39.91667087481702,47
group415.1,18928,-85.17432406032778,39.91573678021667,18
group416.1,143827,-85.94403707100508,39.881622364280254,157
group417.1,33331,-84.940339689338,39.875643910482,50
group418.1,294637,-85.98877807695324,39.85081149927593,216
group418.2,158002,-85.99331485289926,39.85012338312164,134
group418.3,451385,-85.99583096773424,39.84509143313153,333
group418.4,326537,-86.00413643664756,39.85026724213943,246
group418.5,40299,-86.012699143864,39.845788382828,25
group421.1,21741,-84.88169180114643,39.843796309560716,28
group422.1,327581,-84.91333624500832,39.84069932884107,336
group423.1,8010,-84.89866243755556,39.8352496755,9
group424.1,90867,-86.34768866244424,39.82100357932921,113
group425.1,58943,-84.96500932972,39.819208702324616,65
group426.1,17440,-85.12600491852223,39.81794871997778,18
group427.1,40979,-85.06070000346956,39.81688410969565,46
group429.1,24086,-86.32807595117318,39.81527901313902,41
group430.1,44352,-85.112068818942,39.815542560354004,50
group431.1,15459,-85.137451251785,39.81409114335,20
group432.1,124118,-84.88696433679328,39.80792917848824,119
group433.1,350602,-86.34248742674949,39.79720327642356,382
group434.1,8843,-87.37007574515455,39.79918908771818,11
group435.1,12251,-85.46875976673529,39.79867656191176,17
group436.1,33675,-85.76100600184,39.79159701171833,60
group436.2,28796,-85.76297899846764,39.79299559690588,34
group437.1,211763,-86.3157898729676,39.79052395511127,142
group437.2,39040,-86.32387508434286,39.78260586843929,28
group438.1,40598,-86.24086648511864,39.78993049889152,59
group439.1,25137,-85.9027437959,39.78017914909629,27
group440.1,94225,-85.863867817202,39.779541720479,100
group441.1,59564,-85.77298370421525,39.77792923774407,59
group441.2,22287,-85.769312189628,39.777469824172,25
group442.1,33333,-86.25316679920245,39.7716917235,41
group443.1,236905,-86.0381067938621,39.766973922923825,277
